Offense,Pearson_r,OneSided_p
Motor Vehicle Theft,0.1123095135467742,7.654422713814651e-07
Vandalism,0.09800079059032732,1.3854358377656201e-05
Assault Simple,0.07852163469462559,0.00039612352399725836
Assist Citizen - Mental/TDO/ECO,0.07690693068974,0.0005075993763468447
Hit and Run,0.06513986438617832,0.0026987676984760556
Larceny - All Other,0.06382445679987864,0.003205369440336867
Lost/FoundProperty,0.04707709397780424,0.022227891858741897
Larceny - From Motor Vehicle,0.04325276311210569,0.032421175083860346
Larceny - Shoplifitng,0.04067620584510159,0.04125865386725096
Burglary,0.020293353854306816,0.193258198249551
Suspicious Activity,0.007899448414804701,0.3680382699392831
Larceny - Theft from Building,-0.04459304300061135,1.0
